N°	Client	Type	ERP	Effectif	Avocats_Associes	Avocats_Collaborateurs	Secretaires	Assistants_Juridiques	Juristes	Informatique	RH	Communication	Documentation	Comptabilite	Departement
291	BARBIER ET ASSOCIES (LEGAL)	Prospect	AvocatOnline	22	5	4	4	7	1	0	0	0	1	0	59
292	CARON	Prospect	Kléos	8	2	2	2	1	1	0	0	0	0	0	69
293	LES CONSEILS JURIDIQUES	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	75
294	EXPERTISE LEGALE	Client	NEO	16	4	3	5	3	0	0	0	0	1	0	13
295	ALLIANCE AVOCATS ASSOCIES	Prospect	AvocatOnline	2	1	0	1	0	0	0	0	0	0	0	67
297	JURIS	Client	NEO	153	26	25	17	45	25	4	4	2	2	3	92
298	MOREL	Prospect	AvocatOnline	3	2	1	0	0	0	0	0	0	0	0	45
299	BLANC (ANCIEN CLIENT)	Client	NEO	10	3	2	2	1	0	0	2	0	0	0	91
301	FAURE ISABELLE	Client	NEO	46	7	7	20	8	3	0	0	0	0	1	75
302	ADL	Prospect	AvocatOnline	10	3	2	2	1	0	1	1	0	0	0	05
303	CONSEILS DISTRIBUTION	Prospect	AvocatOnline	30	6	5	12	5	1	0	0	1	0	0	43
304	LEVY	Client	AIR	163	28	28	21	41	30	4	3	1	1	6	75
305	MARTIN AVOCATS	Client	ADAPPS	2	1	1	0	0	0	0	0	0	0	0	74
306	ROUX	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	69
307	SIMON MICHELLE	Client	AIR	3	2	1	0	0	0	0	0	0	0	0	93
308	BERNARD PAUL	Prospect	AvocatOnline	2	1	1	0	0	0	0	0	0	0	0	92
309	ROUSSEAU & ASSOCIES	Prospect	AvocatOnline	9	2	2	3	2	0	0	0	0	0	0	75
310	BERNARD MARIE	Prospect	Clématis	3	2	0	1	0	0	0	0	0	0	0	75
311	LEXJURIS SELARL	Prospect	AvocatOnline	1	1	0	0	0	0	0	0	0	0	0	08
312	VINCENT	Prospect	AvocatOnline	4	2	0	0	2	0	0	0	0	0	0	93
313	GUILLAUME	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	75
314	CONSEILS BUSINESS	Client	NEO	17	4	3	5	2	1	1	0	0	1	0	75
315	GESTION PATRIMOINE	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	94
316	LE BLANC (69)	Prospect	AvocatOnline	2	1	0	1	0	0	0	0	0	0	0	75
317	FONTAINE ET ASSOCIES (EX MORIN)	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	94
318	CLMC	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	73
319	DURAND FRANCOIS	Client	NEO	3	2	1	0	0	0	0	0	0	0	0	94
320	TECH SOLUTIONS	Client	AIR	5	2	1	2	0	0	0	0	0	0	0	35
322	JURIDIS	Prospect	PolyOffice	17	4	3	7	3	0	0	0	0	0	0	92
323	LEGAL PLUS+ (JURISTES CONSEILS)	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	43
324	CABINET/MR MARTIN	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	75
325	POINT DROIT	Client	NEO	3	2	1	0	0	0	0	0	0	0	0	42
326	PCS	Prospect	AvocatOnline	17	4	4	5	3	0	0	0	1	0	0	13
327	EXPERTISE	Prospect	Clématis	5	2	3	0	0	0	0	0	0	0	0	59
329	SERVICES JURIDIQUES	Prospect	Jarvis	23	4	4	5	7	1	1	0	0	0	1	75
330	VGA (VINCENT - GERARD ET ASSOCIES)	Client	AIR	23	5	4	9	4	1	0	0	0	0	0	94
331	SCHNEIDER	Client	NEO	16	3	3	7	2	1	0	0	0	0	0	75
332	LEGALIS	Prospect	AvocatOnline	2	1	1	0	0	0	0	0	0	0	0	59
333	CAIJ	Client	AIR	5	2	1	0	0	2	0	0	0	0	0	92
334	FRANCE CONSEIL	Prospect	Clématis	17	3	3	7	3	1	0	0	0	0	0	60
335	IFADROIT	Prospect	AvocatOnline	5	2	1	2	0	0	0	0	0	0	0	38
337	EJA	Prospect	AvocatOnline	3	2	1	0	0	0	0	0	0	0	0	34
338	LAMBERT & DUVAL	Prospect	PolyOffice	2	1	1	0	0	0	0	0	0	0	0	85
340	BENOIT	Prospect	Jarvis	1	1	0	0	0	0	0	0	0	0	0	94
341	CONSEILS INFORMATIQUE	Prospect	Jarvis	2	1	0	1	0	0	0	0	0	0	0	06
343	MORIN EXPERTS	Client	AIR	19	4	3	8	3	1	0	0	0	0	0	75
344	FNAJA	Client	NEO	8	2	2	3	1	0	0	0	0	0	0	83
346	JURSOFT	Client	AIR	8	2	2	1	1	0	2	0	0	0	0	75
347	COLIN MOREAU	Prospect	AvocatOnline	2	1	0	1	0	0	0	0	0	0	0	75
348	BRETAGNE INFORMATIQUE	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	54
350	LJS	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	75
351	VICTOR JURIDIQUE	Client	ADAPPS	1	1	0	0	0	0	0	0	0	0	0	15
353	ORDRE DES AVOCATS DE BORDEAUX	Prospect	Jarvis	12	3	2	5	2	0	0	0	0	0	0	92
354	CORNET	Client	NEO	42	7	6	19	7	2	0	0	0	0	1	75
355	PREMIUM CONSEIL SAS	Prospect	AvocatOnline	1	1	0	0	0	0	0	0	0	0	0	80
356	LEBLANC MARTIN EXPERTISE	Prospect	AvocatOnline	1	1	0	0	0	0	0	0	0	0	0	75
357	TERRY	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	90
358	UJC	Prospect	AvocatOnline	1	1	0	0	0	0	0	0	0	0	0	75
359	DUPONT- RICHARD-SIMON & ASSOCIES	Client	NEO	23	4	4	8	3	2	1	0	0	0	1	94
361	BCA Associes (Bernard Cohen-Richelet Martin) (75002)	Prospect	Jarvis	13	3	2	6	2	0	0	0	0	0	0	92
362	GILBERT	Client	NEO	18	4	4	4	3	0	0	1	1	1	0	13
363	EQUILIBRE	Client	AIR	9	3	2	1	1	0	0	0	0	2	0	38
364	MARTINEZ et Associés (75007)	Prospect	Kléos	15	4	3	3	4	0	0	0	0	1	0	62
365	SCP LEBRUN MOREAU DANIEL	Prospect	AvocatOnline	10	3	2	2	1	0	1	1	0	0	0	94
366	BALLE (50)	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	75
367	BERTRAND ET DE NICOLAS	Client	NEO	25	5	4	12	3	1	0	0	0	0	0	94
368	ARTIS	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	94
369	EXPERTISE	Client	NEO	23	5	4	8	3	0	0	1	1	1	0	75
371	ECOLE JURIDIQUE (ECOLE NATIONALE DE DROIT)	Client	ADAPPS	10	3	2	3	2	0	0	0	0	0	0	21
372	VALENTIN ROBIN LEGAL	Prospect	AvocatOnline	1	1	0	0	0	0	0	0	0	0	0	92
374	BARRIERE	Client	NEO	8	2	2	3	1	0	0	0	0	0	0	74
375	JOURNOLLEAU (78)	Client	AIR	16	4	3	5	2	0	1	1	0	0	0	76
377	TECH INFORMATIQUE	Prospect	AvocatOnline	39	7	6	15	7	2	0	0	0	1	1	57
378	CONCEPT JURIDIQUE	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	75
379	GODARD	Client	NEO	16	3	3	6	3	1	0	0	0	0	0	35
381	BERNARD ET MARTINEZ	Client	NEO	14	3	3	5	2	0	0	0	0	0	1	38
382	RIC FRANCE	Prospect	Kléos	13	3	3	5	2	0	0	0	0	0	0	75
384	JURISOFT	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	59
386	BURGER	Client	AIR	17	4	3	5	3	1	1	0	0	0	0	42
387	FONTAINE Associés	Prospect	AvocatOnline	5	2	2	1	0	0	0	0	0	0	0	92
388	REVEST LEGAL NOGARET DE PARIS CONSEIL	Client	NEO	17	3	3	6	4	1	0	0	0	0	0	75
389	IMPRIMERIE JEAN	Client	AIR	2	1	0	1	0	0	0	0	0	0	0	13
390	CHAUSSEE	Prospect	AvocatOnline	2	1	1	0	0	0	0	0	0	0	0	94
391	SOFTJURIS	Client	NEO	8	2	2	1	1	0	0	0	2	0	0	92
392	LEGAL INFORMATIQUE	Client	AIR	2	1	1	0	0	0	0	0	0	0	0	84
393	GODARD	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	49
394	GAMAS	Prospect	AvocatOnline	2	1	0	1	0	0	0	0	0	0	0	44
395	LDQS	Prospect	AvocatOnline	8	2	2	2	1	0	0	0	1	0	0	75
396	AJAF MARSEILLE	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	76
397	TOGNAC AVOCATS	Prospect	AvocatOnline	2	1	1	0	0	0	0	0	0	0	0	93
398	WINNERS	Client	NEO	8	2	2	1	1	0	0	0	0	2	0	71
399	BOIS RENE	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	10
400	PRO INFORMATIQUE	Client	AIR	7	2	2	1	0	0	0	0	1	1	0	16
401	CABINET BEN LEGAL	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	75
402	BJCS	Prospect	Clématis	1	1	0	0	0	0	0	0	0	0	0	75
403	S CONSEIL	Prospect	AvocatOnline	10	3	2	4	1	0	0	0	0	0	0	53
404	IMPRIMERIE GENET	Prospect	Kléos	10	3	2	3	2	0	0	0	0	0	0	75
405	METROLOGIE	Client	NEO	10	3	2	4	1	0	0	0	0	0	0	41
406	BOYER, DELALANDE, MARIN	Client	AIR	86	15	14	10	24	14	3	2	1	1	2	93
407	DEL DO	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	69
408	GZ AVOCATS	Prospect	AvocatOnline	14	3	3	5	2	1	0	0	0	0	0	92
409	QUINCHON ET ASSOCIES	Client	AIR	3	2	1	0	0	0	0	0	0	0	0	75
410	GENTY (EX BODIN, GENTY, DE LYLLE)	Client	NEO	7	2	2	1	2	0	0	0	0	0	0	75
411	DAVID MARIE-AGNES	Client	AIR	3	2	0	1	0	0	0	0	0	0	0	44
412	GAYE	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	25
414	MOREAU	Client	ADAPPS	1	1	0	0	0	0	0	0	0	0	0	93
415	DEBOSSE-LEPIDI	Prospect	Kléos	15	4	3	5	2	0	0	1	0	0	0	75
416	MANNONI	Prospect	AvocatOnline	2	1	1	0	0	0	0	0	0	0	0	54
417	AJAF	Prospect	Jarvis	1	1	0	0	0	0	0	0	0	0	0	31
419	MARCHAND	Client	AIR	10	3	2	3	1	0	1	0	0	0	0	69
420	PERICAUD AVOCATS	Client	NEO	6	2	2	0	0	0	0	1	1	0	0	84
421	KINTZLER - VERGIER	Prospect	Jarvis	1	1	0	0	0	0	0	0	0	0	0	13
422	RICHARD JEAN CLAUDE	Prospect	AvocatOnline	25	5	4	11	4	1	0	0	0	0	0	75
423	KREMP CERTIN (75001)	Client	NEO	6	2	2	0	0	0	0	1	0	1	0	92
424	DE JONGH-DUNAND	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	75
425	CACHIA Etienne	Prospect	AvocatOnline	1	1	0	0	0	0	0	0	0	0	0	92
426	PARADOXE VOYAGE	Client	NEO	2	1	0	1	0	0	0	0	0	0	0	87
428	PAPETERIE EXELMANS	Client	NEO	19	4	4	6	3	1	1	0	0	0	0	44
430	HELLO DIS	Prospect	AvocatOnline	12	3	3	2	4	0	0	0	0	0	0	59
431	AOUST AUZUECH	Client	NEO	9	3	2	3	1	0	0	0	0	0	0	92
432	FLEISCHEL (75001)	Prospect	AvocatOnline	10	3	2	3	1	0	1	0	0	0	0	63
433	MINORET GIBERT	Client	NEO	2	1	0	1	0	0	0	0	0	0	0	06
434	COMMANDE ELECTRONIQUE	Prospect	PolyOffice	17	4	3	5	3	1	0	1	0	0	0	69
435	ORDRE DES AVOCATS DE METZ	Prospect	AvocatOnline	5	2	2	1	0	0	0	0	0	0	0	06
436	ROINE ET ASSOCIES	Client	NEO	6	2	1	2	1	0	0	0	0	0	0	69
437	GENTY	Client	AIR	14	3	3	5	2	0	1	0	0	0	0	94
438	HOFFMANN AVOCATS	Client	NEO	33	6	6	13	5	2	0	0	1	0	0	75
439	JACTAT HUGOT DROUILLY WEBER (NE PLUS UTILISER VOIR HERMINE AVOCATS)	Prospect	AvocatOnline	12	3	2	4	2	0	0	0	0	1	0	75
440	AZANCOT	Prospect	AvocatOnline	3	2	1	0	0	0	0	0	0	0	0	33
441	AURENCHE	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	31
442	LEXIA Paris (75006) dependant de LEXIA BORDEAUX	Client	NEO	3	2	0	1	0	0	0	0	0	0	0	75
443	BNP BAIL	Client	NEO	14	3	3	5	2	0	0	1	0	0	0	03
444	BNP PARIBAS LEASE GROUP*	Client	AIR	9	3	2	2	1	0	0	0	1	0	0	75
445	PIETRA	Client	NEO	5	2	2	1	0	0	0	0	0	0	0	85
446	BUREAU EMERAUDE	Prospect	AvocatOnline	2	1	1	0	0	0	0	0	0	0	0	75
447	CPS	Client	ADAPPS	8	2	2	3	1	0	0	0	0	0	0	75
449	ORDRE DES AVOCATS TARASCON	Client	ADAPPS	1	1	0	0	0	0	0	0	0	0	0	38
450	(CABINET FERME CAR RETRAITE) FRONTEAU	Prospect	AvocatOnline	5	2	2	1	0	0	0	0	0	0	0	75
451	GRAND	Client	NEO	9	2	2	2	1	0	0	0	0	2	0	29
452	ORDRE DES AVOCATS DE NANCY	Prospect	Kléos	2	1	1	0	0	0	0	0	0	0	0	76
453	AGENA	Prospect	Clématis	1	1	0	0	0	0	0	0	0	0	0	69
454	ABBES (78)	Client	NEO	2	1	0	1	0	0	0	0	0	0	0	67
455	CAE	Prospect	PolyOffice	15	4	3	5	2	0	0	1	0	0	0	75
456	AMTI	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	95
457	BNP DAUPHINE	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	95
458	TEX-LEADER	Client	NEO	16	4	3	3	5	0	0	0	1	0	0	67
459	PALAZO	Prospect	Jarvis	3	2	1	0	0	0	0	0	0	0	0	13
460	RUMEAU Daniel	Client	AIR	8	2	2	1	1	0	1	1	0	0	0	33
461	SCP GUEDON MEYER	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	92
462	TAXIS BLEUS	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	59
463	IBCF	Client	AIR	1	1	0	0	0	0	0	0	0	0	0	85
465	DESMICHELLE - MOREAU (75009)	Client	NEO	8	2	2	3	1	0	0	0	0	0	0	75
466	JM BRUNEAU	Prospect	PolyOffice	6	2	2	0	0	0	1	1	0	0	0	76
467	CHAVANNE	Client	NEO	31	6	5	9	6	2	1	0	1	0	1	25
468	DALIN	Client	NEO	10	3	2	4	1	0	0	0	0	0	0	75
469	TOUCAN	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	76
470	BURGUBURU CHARVET BLAMOUTIER GARDEL & ASSOCIES (BCGA)	Prospect	AvocatOnline	1	1	0	0	0	0	0	0	0	0	0	59
471	SPECTRAL MIS	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	63
472	MAIRET	Client	ADAPPS	2	1	0	1	0	0	0	0	0	0	0	92
473	BATISTA INFORMATIQUE	Client	NEO	6	2	2	1	0	0	0	0	1	0	0	11
474	ARCHITECH	Prospect	Jarvis	3	2	1	0	0	0	0	0	0	0	0	84
475	CPS FRANCE	Prospect	Kami	1	1	0	0	0	0	0	0	0	0	0	93
476	BNP ASSAS	Prospect	AvocatOnline	4	2	0	0	0	2	0	0	0	0	0	75
477	SCP BOREL DEL PRETE	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	92
478	CORRELATION	Client	ADAPPS	1	1	0	0	0	0	0	0	0	0	0	69
479	SOFINABAIL	Prospect	Clématis	14	3	3	5	2	0	0	1	0	0	0	75
480	URBINO ASSOCIES SELARL	Prospect	AvocatOnline	16	3	3	6	2	1	0	1	0	0	0	13
481	ABJ	Client	NEO	4	2	0	0	0	2	0	0	0	0	0	75
482	AGANI	Prospect	Jarvis	7	2	1	3	1	0	0	0	0	0	0	68
483	BELLEVUE INFORMATIQUE	Client	NEO	2	1	0	1	0	0	0	0	0	0	0	2B
484	MARTIN & BERNARD	Prospect	Kléos	1	1	0	0	0	0	0	0	0	0	0	25
485	ROUSSEAU CONSEIL	Client	NEO	11	3	2	3	2	0	0	1	0	0	0	92
486	DUBOIS EXPERTISE	Prospect	AvocatOnline	4	2	2	0	0	0	0	0	0	0	0	31
487	MOREAU LEGAL	Client	AIR	15	3	3	6	3	0	0	0	0	0	0	07
488	SIMON & FONTAINE	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	75
489	VINCENT AVOCAT	Prospect	Kléos	20	4	4	6	4	1	0	0	1	0	0	31
490	LAMBERT CONSEIL	Client	NEO	21	4	3	5	8	1	0	0	0	0	0	75
491	ROUX & ASSOCIES	Client	AIR	24	5	4	9	3	1	0	1	0	0	1	2A
492	DURAND EXPERTISE	Prospect	Kami	9	2	2	1	1	0	2	1	0	0	0	38
493	BERNARD CONSEIL	Client	NEO	43	7	7	18	9	1	0	0	0	0	1	92
494	MICHEL LEGAL	Prospect	AvocatOnline	1	1	0	0	0	0	0	0	0	0	0	70
495	PETIT & GRAND	Client	NEO	25	5	4	8	4	2	0	0	0	1	1	84
496	GARCIA AVOCAT	Prospect	AvocatOnline	2	1	1	0	0	0	0	0	0	0	0	31
497	LEFEBVRE CONSEIL	Client	ADAPPS	1	1	0	0	0	0	0	0	0	0	0	35
498	RICHARD & ASSOCIES	Prospect	AvocatOnline	19	4	3	6	4	1	0	0	1	0	0	75
499	CLEMENT LEGAL	Client	AIR	21	4	4	7	3	1	0	0	1	0	1	75
500	HENRY EXPERTISE	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	94
501	CABINET MARTIN PARIS	Prospect	AvocatOnline	8	2	2	1	1	0	0	0	0	2	0	07
502	SCP DUBOIS LYON	Client	AIR	4	2	0	0	1	1	0	0	0	0	0	75
503	SELARL BERNARD NICE	Prospect	PolyOffice	6	2	1	2	1	0	0	0	0	0	0	59
504	ROUSSEAU AVOCATS BORDEAUX	Prospect	AvocatOnline	1	1	0	0	0	0	0	0	0	0	0	18
505	MOREAU & SIMON TOULOUSE	Prospect	AvocatOnline	2	1	0	1	0	0	0	0	0	0	0	33
506	VINCENT CONSEIL LILLE	Prospect	AvocatOnline	10	3	2	4	1	0	0	0	0	0	0	75
507	LAMBERT EXPERTISE NANTES	Client	AIR	1	1	0	0	0	0	0	0	0	0	0	67
508	ROUX LEGAL STRASBOURG	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	93
509	DURAND & BERNARD MARSEILLE	Prospect	Clématis	5	2	2	1	0	0	0	0	0	0	0	31
510	MICHEL AVOCATS MONTPELLIER	Prospect	PolyOffice	16	3	3	5	3	1	1	0	0	0	0	75
511	PETIT CONSEIL RENNES	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	75
512	GARCIA & LEFEBVRE NANCY	Prospect	AvocatOnline	75	14	13	19	13	9	2	1	1	1	2	94
513	RICHARD EXPERTISE METZ	Prospect	AvocatOnline	1	1	0	0	0	0	0	0	0	0	0	61
514	CLEMENT LEGAL DIJON	Prospect	Kami	2	1	1	0	0	0	0	0	0	0	0	43
515	HENRY & FONTAINE ORLEANS	Prospect	PolyOffice	2	1	1	0	0	0	0	0	0	0	0	93
516	SIMON CONSEIL TOURS	Client	NEO	7	2	1	1	1	0	0	0	2	0	0	75
517	DUBOIS AVOCAT ANGERS	Client	NEO	4	2	2	0	0	0	0	0	0	0	0	75
518	MOREAU EXPERTISE CAEN	Prospect	AvocatOnline	4	2	2	0	0	0	0	0	0	0	0	75
519	BERNARD LEGAL AMIENS	Prospect	Jarvis	36	6	6	12	7	2	1	1	0	0	1	44
520	VINCENT & LAMBERT REIMS	Prospect	AvocatOnline	2	1	1	0	0	0	0	0	0	0	0	75
521	CABINET ROUX TROYES	Prospect	AvocatOnline	6	2	1	2	1	0	0	0	0	0	0	75
522	DURAND CONSEIL AUXERRE	Prospect	PolyOffice	1	1	0	0	0	0	0	0	0	0	0	42
523	MICHEL EXPERTISE CHALONS	Client	AIR	10	3	2	3	2	0	0	0	0	0	0	31
524	PETIT LEGAL CHARLEVILLE	Client	NEO	24	5	4	8	3	1	1	0	1	1	0	50
525	GARCIA AVOCAT SEDAN	Client	NEO	25	5	5	7	5	1	0	0	1	1	0	75
526	LEFEBVRE & RICHARD VERDUN	Prospect	AvocatOnline	1	1	0	0	0	0	0	0	0	0	0	05
527	CLEMENT CONSEIL EPINAL	Prospect	Kléos	13	3	3	4	2	0	0	0	0	1	0	59
528	HENRY EXPERTISE BELFORT	Client	NEO	2	1	0	1	0	0	0	0	0	0	0	09
529	FONTAINE LEGAL BESANCON	Prospect	AvocatOnline	1	1	0	0	0	0	0	0	0	0	0	75
530	SIMON & DUBOIS DOLE	Client	NEO	13	3	3	2	5	0	0	0	0	0	0	75
531	MOREAU AVOCAT LONS	Client	NEO	12	3	3	4	2	0	0	0	0	0	0	54
532	BERNARD CONSEIL BOURG	Prospect	Kami	2	1	1	0	0	0	0	0	0	0	0	13
533	VINCENT EXPERTISE MACON	Prospect	Jarvis	9	2	2	1	1	0	2	0	1	0	0	59
534	LAMBERT LEGAL CHALON	Prospect	Kléos	12	3	2	5	2	0	0	0	0	0	0	75
535	ROUX & DURAND AUTUN	Client	ADAPPS	12	3	2	3	2	0	1	0	1	0	0	92
536	MICHEL CONSEIL NEVERS	Client	NEO	17	3	3	5	3	1	0	1	0	1	0	33
537	PETIT EXPERTISE COSNE	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	2A
538	GARCIA LEGAL CLAMECY	Client	NEO	6	2	1	1	0	0	0	0	2	0	0	35
539	LEFEBVRE AVOCAT AVALLON	Prospect	AvocatOnline	15	3	3	3	4	1	0	0	1	0	0	69
540	RICHARD & CLEMENT SENS	Client	AIR	8	2	2	3	1	0	0	0	0	0	0	75
541	HENRY CONSEIL JOIGNY	Prospect	PolyOffice	87	16	15	10	23	14	3	2	1	1	2	59
542	FONTAINE EXPERTISE TONNERRE	Client	AIR	1	1	0	0	0	0	0	0	0	0	0	03
543	SIMON LEGAL NOGENT	Client	AIR	10	3	2	4	1	0	0	0	0	0	0	42
544	DUBOIS & MOREAU ROMILLY	Client	AIR	1	1	0	0	0	0	0	0	0	0	0	49
545	BERNARD AVOCAT ARCIS	Client	NEO	23	5	4	9	3	1	0	0	1	0	0	75
546	VINCENT CONSEIL BAR	Prospect	Jarvis	31	6	5	14	5	1	0	0	0	0	0	14
547	LAMBERT EXPERTISE VITRY	Client	NEO	6	2	2	1	0	0	0	0	1	0	0	93
548	ROUX LEGAL SAINT	Client	NEO	12	3	3	2	4	0	0	0	0	0	0	69
549	DURAND & MICHEL CHAUMONT	Client	AIR	6	2	1	2	1	0	0	0	0	0	0	37
550	PETIT CONSEIL LANGRES	Client	AIR	9	2	2	2	1	0	0	1	1	0	0	57
551	GARCIA EXPERTISE WASSY	Client	NEO	8	2	2	2	1	0	0	0	0	1	0	94
552	LEFEBVRE LEGAL JOINVILLE	Client	AIR	1	1	0	0	0	0	0	0	0	0	0	69
553	RICHARD AVOCAT BOURBONNE	Prospect	AvocatOnline	1	1	0	0	0	0	0	0	0	0	0	33
554	CLEMENT & HENRY FAYL	Client	NEO	25	5	4	8	4	2	1	0	0	0	1	13
555	FONTAINE CONSEIL VARENNES	Prospect	Clématis	1	1	0	0	0	0	0	0	0	0	0	75
556	SIMON EXPERTISE VASSY	Client	ADAPPS	1	1	0	0	0	0	0	0	0	0	0	92
557	DUBOIS LEGAL CHEVILLON	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	75
558	MOREAU AVOCAT DOULAINCOURT	Client	NEO	27	5	5	10	4	1	0	0	1	0	1	75
559	BERNARD & VINCENT ANDELOT	Client	NEO	23	4	4	9	5	1	0	0	0	0	0	93
560	LAMBERT CONSEIL BOURMONT	Prospect	Jarvis	10	3	2	2	1	0	1	0	1	0	0	75
561	ROUX EXPERTISE MONTIGNY	Client	NEO	8	2	2	2	2	0	0	0	0	0	0	67
562	DURAND LEGAL POISSONS	Client	AIR	9	3	2	3	1	0	0	0	0	0	0	59
563	MICHEL AVOCAT ECLARON	Prospect	Kami	47	8	7	18	9	2	0	0	0	1	2	75
564	PETIT & GARCIA CIREY	Client	ADAPPS	4	2	2	0	0	0	0	0	0	0	0	67
565	LEFEBVRE CONSEIL RIMAUCOURT	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	75
566	RICHARD EXPERTISE PRAUTHOY	Prospect	Clématis	5	2	2	1	0	0	0	0	0	0	0	75
567	CLEMENT LEGAL AUBERIVE	Prospect	AvocatOnline	21	4	3	9	4	1	0	0	0	0	0	75
568	HENRY AVOCAT LEUCHEY	Client	NEO	8	2	2	1	1	0	0	0	1	1	0	83
